fra;jour;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
FR;2021-01-05;292;354;651;2791;3148;6018;09;7763205.6862729
FR;2021-01-05;1319;1302;2645;14720;14097;29029;19;8336486.16053724
FR;2021-01-05;2006;1695;3708;33081;24792;57955;29;7476787.18780411
FR;2021-01-05;1796;1482;3284;31127;22772;53957;39;8295371.93193955
FR;2021-01-05;1589;1376;2972;27612;20213;47891;49;8592886.15993015
FR;2021-01-05;1586;1340;2931;28750;20502;49320;59;8792674.76801071
FR;2021-01-05;1136;1090;2233;20344;17923;38398;69;8004082.76030424
FR;2021-01-05;791;677;1472;13883;12828;26744;79;5695639.13079729
FR;2021-01-05;879;468;1348;13745;7645;21417;89;3245280.60813097
FR;2021-01-05;634;214;848;10523;2900;13434;90;912580.606272853
FR;2021-01-05;12032;10001;22099;196611;146850;344235;0;67114995
FR;2021-01-06;306;310;630;2915;3116;6141;09;7763205.6862729
FR;2021-01-06;1334;1204;2562;15476;14847;30530;19;8336486.16053724
FR;2021-01-06;1769;1541;3314;31323;24764;56163;29;7476787.18780411
FR;2021-01-06;1447;1252;2704;26857;21037;47965;39;8295371.93193955
FR;2021-01-06;1456;1212;2674;24574;18535;43175;49;8592886.15993015
FR;2021-01-06;1377;1139;2521;25535;18459;44066;59;8792674.76801071
FR;2021-01-06;970;872;1851;17144;15473;32701;69;8004082.76030424
FR;2021-01-06;673;609;1284;11259;10584;21868;79;5695639.13079729
FR;2021-01-06;751;397;1151;11949;6452;18420;89;3245280.60813097
FR;2021-01-06;606;175;781;9334;2558;11897;90;912580.606272853
FR;2021-01-06;10690;8716;19479;176395;135863;312996;0;67114995
FR;2021-01-07;281;332;620;2743;2920;5758;09;7763205.6862729
FR;2021-01-07;1191;1097;2307;16047;14987;31271;19;8336486.16053724
FR;2021-01-07;1718;1510;3237;33486;26356;59944;29;7476787.18780411
FR;2021-01-07;1506;1232;2743;29091;22502;51687;39;8295371.93193955
FR;2021-01-07;1374;1140;2520;26227;20241;46552;49;8592886.15993015
FR;2021-01-07;1337;1151;2490;26869;19945;46887;59;8792674.76801071
FR;2021-01-07;938;921;1867;17248;15485;32812;69;8004082.76030424
FR;2021-01-07;660;563;1228;11112;10471;21624;79;5695639.13079729
FR;2021-01-07;686;390;1076;11918;6426;18370;89;3245280.60813097
FR;2021-01-07;490;174;664;9110;2541;11660;90;912580.606272853
FR;2021-01-07;10183;8511;18757;183880;141905;326630;0;67114995
FR;2021-01-08;290;359;665;3299;3704;7096;09;7763205.6862729
FR;2021-01-08;1249;1230;2508;17878;16113;34263;19;8336486.16053724
FR;2021-01-08;1691;1459;3157;34601;26999;61684;29;7476787.18780411
FR;2021-01-08;1615;1311;2938;30055;24365;54487;39;8295371.93193955
FR;2021-01-08;1429;1263;2696;26633;22196;48891;49;8592886.15993015
FR;2021-01-08;1416;1117;2536;27213;22503;49784;59;8792674.76801071
FR;2021-01-08;1042;1023;2069;20351;19142;39566;69;8004082.76030424
FR;2021-01-08;664;610;1276;13882;13595;27502;79;5695639.13079729
FR;2021-01-08;624;369;993;10894;6845;17764;89;3245280.60813097
FR;2021-01-08;422;136;558;6752;2147;8907;90;912580.606272853
FR;2021-01-08;10444;8879;19401;191594;157653;350028;0;67114995
FR;2021-01-09;195;176;378;2463;2612;5150;09;7763205.6862729
FR;2021-01-09;718;707;1439;10696;9611;20453;19;8336486.16053724
FR;2021-01-09;967;823;1791;17623;13903;31562;29;7476787.18780411
FR;2021-01-09;878;731;1613;15870;13538;29443;39;8295371.93193955
FR;2021-01-09;838;762;1601;14094;12762;26888;49;8592886.15993015
FR;2021-01-09;835;758;1596;14181;12745;26949;59;8792674.76801071
FR;2021-01-09;518;510;1030;10793;10501;21329;69;8004082.76030424
