,Episode,Best score so far,Eval score,"Eval, g: []: mean_agg","Eval, g: []: std_agg","Eval, g: []: mean_C0","Eval, g: []: std_C0",Loss 1,"Train, Cost 1","Train, Aggregated cost"
0,1,54205.86864078045,54205.86864078045,1619.3764041607883,1619.3764041607883,54205.86864078045,0.0,,52944.65799149126,1597.8000555094618
1,2,51936.65436769277,51936.65436769277,1580.9630748623954,1580.9630748623954,51936.65436769277,0.0,6415.83447265625,51326.39899498224,1566.0776822595644
2,3,51910.32442591339,51910.32442591339,1579.3232679563876,1579.3232679563876,51910.32442591339,0.0,6411.24560546875,51932.28217986226,1579.5138594257373
3,4,51899.071374222636,51899.071374222636,1578.9787160535043,1578.9787160535043,51899.071374222636,0.0,6768.00732421875,57495.588437736034,1639.9145125333162
4,5,50561.50763080269,50561.50763080269,1546.9905585366716,1546.9905585366716,50561.50763080269,0.0,6841.19775390625,55684.33454592526,1607.740511087752
5,6,50289.79350237548,50289.79350237548,1545.101138628469,1545.101138628469,50289.79350237548,0.0,6742.40771484375,51044.972971878946,1546.8599678139503
6,7,50289.79350237548,50289.79350237548,1545.101138628469,1545.101138628469,50289.79350237548,0.0,6664.51953125,49797.50892442465,1535.5038900120558
7,8,50289.79350237548,56402.87910480797,1619.2630846294073,1619.2630846294073,56402.87910480797,0.0,6476.83251953125,50290.42722349614,1545.3221751318529
8,9,50289.79350237548,50978.90654142946,1564.4072829285035,1564.4072829285035,50978.90654142946,0.0,6487.61376953125,49734.72212345898,1529.600362272618
9,10,50289.79350237548,50356.81200534105,1550.3988985937833,1550.3988985937833,50356.81200534105,0.0,6502.65087890625,53130.54023922235,1605.6807018842833
10,11,50289.79350237548,50809.88723142445,1555.5571661960048,1555.5571661960048,50809.88723142445,0.0,6458.91943359375,51642.32283515483,1565.1277558732263
11,12,50289.79350237548,50809.88723142445,1555.5571661960048,1555.5571661960048,50809.88723142445,0.0,6690.98486328125,59571.902763307095,1674.2128185500662
12,13,50289.79350237548,50859.91220123321,1555.7179646819027,1555.7179646819027,50859.91220123321,0.0,6612.95654296875,51043.55113223195,1565.6327222372363
13,14,50289.79350237548,51486.16152793914,1569.7893574710304,1569.7893574710304,51486.16152793914,0.0,6572.55126953125,49895.604051977396,1536.0744711649877
14,15,50184.16689173132,50184.16689173132,1548.214599027794,1548.214599027794,50184.16689173132,0.0,6467.52197265625,50845.590532787144,1552.0686874129221
15,16,50184.16689173132,50319.46674320847,1550.0218080055256,1550.0218080055256,50319.46674320847,0.0,6428.15185546875,51919.437511101365,1585.3182348203545
16,17,50184.16689173132,50488.927467390895,1554.3593851422806,1554.3593851422806,50488.927467390895,0.0,6503.72412109375,49002.03660707176,1522.0917852771627
17,18,50184.16689173132,50688.11099303514,1557.5974531056675,1557.5974531056675,50688.11099303514,0.0,6379.93212890625,50395.797863289714,1531.1655632895117
18,19,50184.16689173132,51535.3218749091,1564.0871840330844,1564.0871840330844,51535.3218749091,0.0,6505.62353515625,55022.41791058332,1628.345921710959
19,20,50184.16689173132,51535.3218749091,1564.0871840330844,1564.0871840330844,51535.3218749091,0.0,6453.63623046875,53931.2978124544,1614.0112730587216
