,Episode,Best score so far,Eval score,"Eval, g: []: mean_agg","Eval, g: []: std_agg","Eval, g: []: mean_C0","Eval, g: []: std_C0",Loss 1,"Train, Cost 1","Train, Aggregated cost"
0,1,112878.08388872445,112878.08388872445,3270.4851138016925,3270.4851138016925,112878.08388872445,0.0,,115103.08641237766,3214.0413432621954
1,2,112878.08388872445,112878.08388872445,3270.4851138016925,3270.4851138016925,112878.08388872445,0.0,30548.291015625,112362.59969328344,3214.292908377762
2,3,112878.08388872445,113052.8554963991,3272.8890774451424,3272.8890774451424,113052.8554963991,0.0,33031.11328125,125816.28706727177,3279.2006363304536
3,4,112878.08388872445,113041.33887320012,3272.8545955054346,3272.8545955054346,113041.33887320012,0.0,32141.142578125,111637.20969416946,3204.2730247931754
4,5,112878.08388872445,113020.65000297874,3272.7722373298157,3272.7722373298157,113020.65000297874,0.0,31609.697265625,112429.91298218071,3263.089899522456
5,6,112878.08388872445,112987.46195217967,3272.5952084273445,3272.5952084273445,112987.46195217967,0.0,32188.46875,119915.38603974879,3377.868321115145
6,7,112878.08388872445,112942.22645317018,3272.246401350074,3272.246401350074,112942.22645317018,0.0,32075.71875,117401.98680972308,3335.6624534222137
7,8,112836.59009467065,112836.59009467065,3270.7274915366793,3270.7274915366793,112836.59009467065,0.0,32382.890625,119575.53306761384,3374.1382151080666
8,9,112799.05844511092,112799.05844511092,3270.481915299709,3270.481915299709,112799.05844511092,0.0,32378.5625,117031.8242250979,3328.6097474342814
9,10,112799.05844511092,112810.66433015466,3270.551715029856,3270.551715029856,112810.66433015466,0.0,31935.517578125,113299.47995375842,3272.205547402776
10,11,112412.87908424437,112412.87908424437,3264.6075591468925,3264.6075591468925,112412.87908424437,0.0,31868.517578125,114296.90253271908,3289.1861596934496
11,12,112412.87908424437,112790.35687019676,3270.4177040385052,3270.4177040385052,112790.35687019676,0.0,31726.103515625,112117.62755468488,3250.799496501558
12,13,112412.87908424437,115464.76256139576,3309.3390838475066,3309.3390838475066,115464.76256139576,0.0,31536.8203125,114772.83871011436,3294.967494686498
13,14,112412.87908424437,115464.76256139576,3309.3390838475066,3309.3390838475066,115464.76256139576,0.0,31540.509765625,111499.09655524045,3243.2376914968627
14,15,112412.87908424437,115450.86702102423,3309.3015612970635,3309.3015612970635,115450.86702102423,0.0,31353.962890625,108436.82121562958,3176.9550575862477
15,16,112412.87908424437,115867.94379590452,3319.536908400185,3319.536908400185,115867.94379590452,0.0,31234.380859375,114575.70597925782,3295.9593680626385
16,17,112412.87908424437,115867.94379590452,3319.536908400185,3319.536908400185,115867.94379590452,0.0,31297.474609375,115862.37881762534,3315.5654238274
17,18,112412.87908424437,115286.1736118868,3307.176585574643,3307.176585574643,115286.1736118868,0.0,31357.302734375,115863.55661912262,3319.5212943857796
18,19,112412.87908424437,116421.41356337816,3326.480839882115,3326.480839882115,116421.41356337816,0.0,31211.8671875,114791.45102009922,3295.178315472809
19,20,112412.87908424437,116421.41356337816,3326.480839882115,3326.480839882115,116421.41356337816,0.0,31423.8515625,118116.26916377991,3356.727134106423
20,21,112412.87908424437,116421.41356337816,3326.480839882115,3326.480839882115,116421.41356337816,0.0,31423.9375,117262.19807974249,3339.0070995076917
21,22,112412.87908424437,116319.36693463475,3322.5133225629534,3322.5133225629534,116319.36693463475,0.0,31578.064453125,118162.85186866671,3349.89331319386
22,23,112412.87908424437,116319.36693463475,3322.5133225629534,3322.5133225629534,116319.36693463475,0.0,31575.958984375,118466.93922454119,3359.798654359407
23,24,112412.87908424437,116346.26066143066,3322.6403230390524,3322.6403230390524,116346.26066143066,0.0,32205.0859375,133410.55943244696,3415.3927754441247
24,25,112412.87908424437,116266.41041103005,3319.9525123518133,3319.9525123518133,116266.41041103005,0.0,32122.873046875,117339.5069457218,3339.047133056453
25,26,112412.87908424437,116153.82130496204,3318.7329198882444,3318.7329198882444,116153.82130496204,0.0,32200.7109375,114268.96881045401,3282.6697881094537
26,27,112412.87908424437,117611.06100847572,3341.8709223412434,3341.8709223412434,117611.06100847572,0.0,32018.296875,115397.99252498895,3313.719231947385
27,28,112412.87908424437,117611.06100847572,3341.8709223412434,3341.8709223412434,117611.06100847572,0.0,31941.046875,112418.82706259191,3262.3121507135606
28,29,112412.87908424437,130013.81576057523,3477.6055117374317,3477.6055117374317,130013.81576057523,0.0,31844.234375,115189.61396744847,3297.14350051959
29,30,110909.93399052322,110909.93399052322,3201.8707429546694,3201.8707429546694,110909.93399052322,0.0,32066.765625,114933.69552765042,3300.8505641541688
30,31,110909.93399052322,115846.39536496252,3312.3979012381687,3312.3979012381687,115846.39536496252,0.0,31616.986328125,108010.83370112628,3177.4814163495257
31,32,110909.93399052322,115698.32546746731,3309.41430544334,3309.41430544334,115698.32546746731,0.0,31710.107421875,115454.93143124878,3308.1984586069793
32,33,110909.93399052322,115689.83190389723,3309.3633538533177,3309.3633538533177,115689.83190389723,0.0,31667.658203125,114814.26943201572,3301.9275391196634
33,34,110909.93399052322,115689.83190389723,3309.3633538533177,3309.3633538533177,115689.83190389723,0.0,31983.6953125,133747.6471804455,3522.9414067119133
34,35,108333.11162162572,108333.11162162572,3176.684942315026,3176.684942315026,108333.11162162572,0.0,31904.978515625,115517.62492124736,3308.161233478315
35,36,108333.11162162572,108333.11162162572,3176.684942315026,3176.684942315026,108333.11162162572,0.0,31980.8359375,107097.33367603272,3167.9601985929335
36,37,108333.11162162572,109628.82190172374,3193.2473205033402,3193.2473205033402,109628.82190172374,0.0,31749.09375,107035.72203709185,3166.5213243852786
37,38,108333.11162162572,111068.09630590677,3202.702677386793,3202.702677386793,111068.09630590677,0.0,31873.6953125,113188.69178367406,3268.0688053100384
38,39,108333.11162162572,118539.36566996574,3360.1026373985524,3360.1026373985524,118539.36566996574,0.0,31521.234375,109501.11061351746,3193.616626120118
39,40,108333.11162162572,110221.4308694154,3224.964027808584,3224.964027808584,110221.4308694154,0.0,31482.111328125,109330.1397062242,3182.1652140779333
40,41,108333.11162162572,110314.75375308096,3226.285079541344,3226.285079541344,110314.75375308096,0.0,31626.478515625,114910.62404049933,3295.7095231408684
41,42,108333.11162162572,110312.20008835942,3226.2769082032255,3226.2769082032255,110312.20008835942,0.0,31246.34375,114773.25859461725,3298.2540987263046
42,43,108333.11162162572,111243.08854933828,3240.7303242161183,3240.7303242161183,111243.08854933828,0.0,31338.630859375,116475.94553551078,3320.890077226437
43,44,108333.11162162572,115166.5175164938,3305.6965730461593,3305.6965730461593,115166.5175164938,0.0,31522.7578125,107130.1928254813,3165.4226906175454
44,45,108333.11162162572,117676.85812313855,3346.021232939913,3346.021232939913,117676.85812313855,0.0,31416.806640625,130615.37755484134,3494.5016139828126
45,46,108333.11162162572,117658.3281828016,3345.946077144994,3345.946077144994,117658.3281828016,0.0,31607.869140625,108856.02317673713,3174.845756724752
46,47,108333.11162162572,117656.0132438764,3345.9355924024835,3345.9355924024835,117656.0132438764,0.0,31967.958984375,117563.94822606444,3346.1255236113875
47,48,108333.11162162572,112351.78498183936,3261.3254100021722,3261.3254100021722,112351.78498183936,0.0,31559.5546875,126886.37844256312,3343.8543407943384
48,49,108333.11162162572,112351.78498183936,3261.3254100021722,3261.3254100021722,112351.78498183936,0.0,32159.962890625,114341.76387190819,3282.584136824917
49,50,108333.11162162572,112351.78498183936,3261.3254100021722,3261.3254100021722,112351.78498183936,0.0,31628.3984375,117505.01170152426,3347.54257999489
50,51,106681.47652079165,106681.47652079165,3159.41664906543,3159.41664906543,106681.47652079165,0.0,31547.1796875,114396.81565979868,3290.350217476006
51,52,106681.47652079165,120436.4451231584,3385.860582181628,3385.860582181628,120436.4451231584,0.0,31819.203125,115219.85083775967,3302.59604681344
52,53,106681.47652079165,120538.82211142033,3386.8340549702716,3386.8340549702716,120538.82211142033,0.0,31757.533203125,117255.64127329737,3339.9463550936944
53,54,106681.47652079165,117645.25336132199,3342.8266319720215,3342.8266319720215,117645.25336132199,0.0,31825.8203125,113315.58022097498,3272.6302425006606
54,55,106681.47652079165,134590.81930101663,3433.7823053995116,3433.7823053995116,134590.81930101663,0.0,31740.046875,129055.17482289672,3465.9586481246006
55,56,106681.47652079165,117974.17271386832,3308.4541962192607,3308.4541962192607,117974.17271386832,0.0,32266.712890625,134542.00148946792,3436.027875027152
56,57,106681.47652079165,122310.24444883317,3368.800034193041,3368.800034193041,122310.24444883317,0.0,31918.228515625,105705.0437790528,3151.419674927558
